lga_name_2016, lga_code_2016, p_y8b_tot, p_dngts_tot
"Gawler (T)","42030",1066,59
"Goyder (DC)","42110",267,8
"Grant (DC)","42250",396,5
"Beverley (S)","50560",65,4
"Boddington (S)","50630",49,0
"Holdfast Bay (C)","42600",912,147
"Kangaroo Island (DC)","42750",206,6
"Kimba (DC)","43220",82,0
"Kingston (DC) (SA)","43360",161,3
"Light (RegC)","43650",463,22
"Lower Eyre Peninsula (DC)","43710",185,10
"Loxton Waikerie (DC)","43790",861,38
"Mallala (DC)","43920",369,30
"Boyup Brook (S)","50770",63,3
"Maralinga Tjarutja (AC)","44000",0,0
"Marion (C)","44060",3172,497
"Mid Murray (DC)","44210",582,16
"Mitcham (C)","44340",1452,191
"Mount Barker (DC)","44550",794,41
"Mount Gambier (C)","44620",1567,129
"Mount Remarkable (DC)","44830",197,3
"Murray Bridge (RC)","45040",1444,109
"Orroroo/Carrieton (DC)","45400",73,5
"Peterborough (DC)","45540",147,11
"Playford (C)","45680",3748,1042
"Port Adelaide Enfield (C)","45890",6524,2097
"Port Augusta (C)","46090",717,61
"Port Lincoln (C)","46300",735,28
"Port Pirie City and Dists (M)","46450",1304,46
"Bridgetown-Greenbushes (S)","50840",132,8
"Brookton (S)","50910",40,3
"Broome (S)","50980",358,55
"Prospect (C)","46510",730,192
"Renmark Paringa (DC)","46670",671,127
"Robe (DC)","46860",50,0
"Roxby Downs (M)","46970",29,3
"Salisbury (C)","47140",6720,2714
"Southern Mallee (DC)","47290",130,5
"Streaky Bay (DC)","47490",110,3
"Tatiara (DC)","47630",349,57
"Tea Tree Gully (C)","47700",3071,253
"The Coorong (DC)","47800",385,7
"Tumby Bay (DC)","47910",197,5
"Capel (S)","51400",249,22
"Carnamah (S)","51470",25,0
"Carnarvon (S)","51540",263,35
"Chapman Valley (S)","51610",27,4
"Unley (C)","47980",1019,167
"Victor Harbor (C)","48050",733,28
"Wakefield (DC)","48130",410,13
"Coolgardie (S)","51960",97,8
"Coorow (S)","52030",24,0
"Dardanup (S)","52660",350,27
"Denmark (S)","52730",110,12
"Derby-West Kimberley (S)","52800",290,164
"Walkerville (M)","48260",184,26
"Wattle Range (DC)","48340",740,24
"West Torrens (C)","48410",2716,500
"Whyalla (C)","48540",989,68
"Donnybrook-Balingup (S)","52870",175,22
"Wudinna (DC)","48640",55,0
"Yankalilla (DC)","48750",202,12
"Yorke Peninsula (DC)","48830",809,18
"Unincorporated SA","49399",217,20
"Albany (C)","50080",1231,79
"Armadale (C)","50210",1567,373
"Ashburton (S)","50250",119,47
"Augusta-Margaret River (S)","50280",205,20
"Bassendean (T)","50350",510,84
"Bayswater (C)","50420",2267,574
"Belmont (C)","50490",1328,397
"Broomehill-Tambellup (S)","51080",49,3
"Bruce Rock (S)","51120",45,0
"Bunbury (C)","51190",1189,106
"Busselton (C)","51260",864,88
"Cambridge (T)","51310",299,44
"Canning (C)","51330",2141,626
"Chittering (S)","51680",114,9
"Kwinana (C)","54830",821,133
